id	name	attack	block	death	range
0	Hans	422	404	9055	422
1	Man	422	404	9055	422
2	Man	422	404	9055	422
3	Man	422	404	9055	422
4	Woman	422	404	9055	422
5	Woman	422	404	9055	422
6	Woman	422	404	836	0
7	Farmer	422	404	836	0
8	Thief	422	0	836	0
9	Guard	400	404	836	0
10	Schoolgirl	0	285	287	1142
11	Tramp	0	0	0	0
12	Barbarian	0	0	0	0
13	Wizard	2791	404	9055	711
14	Druid	422	404	0	0
15	Warrior woman	386	0	836	0
16	Man	422	0	836	0
17	Schoolgirl	0	0	0	0
18	Al-Kharid warrior	390	387	836	390
19	White Knight	7042	0	836	0
20	Paladin	390	425	836	0
21	Hero	390	425	836	0
22	Forester	422	404	9055	0
23	Knight of Ardougne	390	0	836	0
24	Man	422	0	836	0
25	Woman	422	0	836	0
26	Knight of Ardougne	390	0	836	0
27	Archer	426	404	9055	426
28	Zoo keeper	0	0	0	0
29	Chuck	0	0	0	0
30	Barman	0	0	0	0
31	Priest	0	0	0	0
32	Guard	401	0	836	0
33	Door man	0	0	0	0
34	Watchman	422	0	836	0
35	Soldier	390	0	836	0
36	Wyson the gardener	0	0	0	0
37	Sigbert the Adventurer	0	0	0	0
38	Shipyard worker	422	0	836	0
39	Shipyard worker	401	0	836	0
40	Shark	0	0	0	0
41	Chicken	5387	5388	5389	5387
42	Sheep	0	0	0	0
43	Sheep	0	0	0	0
44	Banker	0	0	0	0
45	Banker	0	0	0	0
46	Duck	0	0	3468	0
47	Rat	2705	2706	2707	2705
48	Oomlie bird	5387	0	5389	0
49	Hellhound	6562	6563	6564	6562
50	King Black Dragon	80	89	92	80
51	Baby dragon	0	0	0	0
52	Baby blue dragon	25	26	28	0
53	Red dragon	80	89	92	80
54	Black dragon	80	89	92	80
55	Blue dragon	80	89	92	80
56	Dryad	0	0	0	0
57	Fairy	0	0	0	0
58	Shadow spider	5327	0	5329	0
59	Giant spider	5327	0	5329	0
60	Giant spider	5327	5328	5329	5327
61	Spider	6249	0	6251	0
